operacao_key,processo,tipo_de_voo,conexao,forma_de_check_in,forma_de_desembarque_utilizada,terminal
1,Desembarque,Doméstico,Não informado,Não informado,Ambulift,1
2,Desembarque,Doméstico,Não informado,Não informado,Cadeira robótica,1
3,Desembarque,Doméstico,Não informado,Não informado,Cadeira robótica,2
4,Desembarque,Doméstico,Não informado,Não informado,Não informado,1
5,Desembarque,Doméstico,Não informado,Não informado,Não informado,2
6,Desembarque,Doméstico,Não informado,Não informado,Não informado,3
7,Desembarque,Doméstico,Não informado,Não informado,Outro,1
8,Desembarque,Doméstico,Não informado,Não informado,Outro,2
9,Desembarque,Doméstico,Não informado,Não informado,Outro - Ambulift,1
10,Desembarque,Doméstico,Não informado,Não informado,Outro - Ambulift,2
11,Desembarque,Doméstico,Não informado,Não informado,Outros - A pe,1
12,Desembarque,Doméstico,Não informado,Não informado,Outros - Comum,2
13,Desembarque,Doméstico,Não informado,Não informado,Outros - Escada,1
14,Desembarque,Doméstico,Não informado,Não informado,Outros - Escada e peguei o ônibus até a restituição de bagagem no desembarque,2
15,Desembarque,Doméstico,Não informado,Não informado,Outros - Nh,2
16,Desembarque,Doméstico,Não informado,Não informado,Outros - Normaal.,1
17,Desembarque,Doméstico,Não informado,Não informado,Outros - Normal,1
18,Desembarque,Doméstico,Não informado,Não informado,Outros - Normal,2
19,Desembarque,Doméstico,Não informado,Não informado,Outros - Normal rampa,2
20,Desembarque,Doméstico,Não informado,Não informado,Outros - Pela porta.,1
21,Desembarque,Doméstico,Não informado,Não informado,Outros - Uma pessoa da cia auxiiliou,1
22,Desembarque,Doméstico,Não informado,Não informado,Outros - Usou escada rolante normal,1
23,Desembarque,Doméstico,Não informado,Não informado,Outros - pista.,1
24,Desembarque,Doméstico,Não informado,Não informado,Ponte,1
25,Desembarque,Doméstico,Não informado,Não informado,Ponte,2
26,Desembarque,Doméstico,Não informado,Não informado,Rampa móvel,1
27,Desembarque,Doméstico,Não informado,Não informado,Rampa móvel,2
28,Desembarque,Doméstico,Não informado,Não informado,"Remoto, por meio de ônibus ou caminhada",1
29,Desembarque,Doméstico,Não informado,Não informado,"Remoto, por meio de ônibus ou caminhada",2
30,Desembarque,Internacional,Não informado,Não informado,Não informado,1
31,Desembarque,Internacional,Não informado,Não informado,Não informado,2
32,Desembarque,Internacional,Não informado,Não informado,Não informado,3
33,Desembarque,Internacional,Não informado,Não informado,Outro,1
34,Desembarque,Internacional,Não informado,Não informado,Outros - Cadeira de roda,2
35,Desembarque,Internacional,Não informado,Não informado,Outros - Nenhum,3
36,Desembarque,Internacional,Não informado,Não informado,Ponte,1
37,Desembarque,Internacional,Não informado,Não informado,Ponte,2
38,Desembarque,Internacional,Não informado,Não informado,Ponte,3
39,Desembarque,Internacional,Não informado,Não informado,Rampa móvel,1
40,Desembarque,Internacional,Não informado,Não informado,"Remoto, por meio de ônibus ou caminhada",1
41,Desembarque,Internacional,Não informado,Não informado,"Remoto, por meio de ônibus ou caminhada",3
42,Embarque,Doméstico,Em conexão,Não informado,Não informado,1
43,Embarque,Doméstico,Em conexão,Não informado,Não informado,2
44,Embarque,Doméstico,Em conexão,Não informado,Não informado,3
45,Embarque,Doméstico,Embarcado no aeroporto,Balcão,Não informado,1
46,Embarque,Doméstico,Embarcado no aeroporto,Balcão,Não informado,2
47,Embarque,Doméstico,Embarcado no aeroporto,Balcão,Não informado,3
48,Embarque,Doméstico,Embarcado no aeroporto,Internet/Aplicativo,Não informado,1
49,Embarque,Doméstico,Embarcado no aeroporto,Internet/Aplicativo,Não informado,2
50,Embarque,Doméstico,Embarcado no aeroporto,Internet/Aplicativo,Não informado,3
51,Embarque,Doméstico,Embarcado no aeroporto,Internet/Aplicativo + Balcão,Não informado,1
52,Embarque,Doméstico,Embarcado no aeroporto,Internet/Aplicativo + Balcão,Não informado,2
53,Embarque,Doméstico,Embarcado no aeroporto,Totem AA,Não informado,1
54,Embarque,Doméstico,Embarcado no aeroporto,Totem AA,Não informado,2
55,Embarque,Doméstico,Embarcado no aeroporto,Totem AA,Não informado,3
56,Embarque,Doméstico,Embarcado no aeroporto,Totem AA + Balcão,Não informado,1
57,Embarque,Doméstico,Embarcado no aeroporto,Totem AA + Balcão,Não informado,2
58,Embarque,Doméstico,Embarcado no aeroporto,Totem Self-service,Não informado,2
59,Embarque,Internacional,Em conexão,Não informado,Não informado,1
60,Embarque,Internacional,Em conexão,Não informado,Não informado,2
61,Embarque,Internacional,Em conexão,Não informado,Não informado,3
62,Embarque,Internacional,Embarcado no aeroporto,Balcão,Não informado,1
63,Embarque,Internacional,Embarcado no aeroporto,Balcão,Não informado,2
64,Embarque,Internacional,Embarcado no aeroporto,Balcão,Não informado,3
65,Embarque,Internacional,Embarcado no aeroporto,Internet/Aplicativo,Não informado,1
66,Embarque,Internacional,Embarcado no aeroporto,Internet/Aplicativo,Não informado,2
67,Embarque,Internacional,Embarcado no aeroporto,Internet/Aplicativo,Não informado,3
68,Embarque,Internacional,Embarcado no aeroporto,Internet/Aplicativo + Balcão,Não informado,1
69,Embarque,Internacional,Embarcado no aeroporto,Internet/Aplicativo + Balcão,Não informado,2
70,Embarque,Internacional,Embarcado no aeroporto,Internet/Aplicativo + Balcão,Não informado,3
71,Embarque,Internacional,Embarcado no aeroporto,Totem AA,Não informado,1
72,Embarque,Internacional,Embarcado no aeroporto,Totem AA,Não informado,2
73,Embarque,Internacional,Embarcado no aeroporto,Totem AA,Não informado,3
74,Embarque,Internacional,Embarcado no aeroporto,Totem AA + Balcão,Não informado,1
75,Embarque,Internacional,Embarcado no aeroporto,Totem AA + Balcão,Não informado,2
76,Embarque,Internacional,Embarcado no aeroporto,Totem AA + Balcão,Não informado,3
77,Embarque,Internacional,Embarcado no aeroporto,Totem Self-service,Não informado,2
