perfil_key,nacionalidade,genero,idade,escolaridade,renda_familiar,viajando_sozinho,motivo_da_viagem,quantidade_de_viagens_nos_ultimos_12_meses,ja_embarcou_desembarcou_antes_no_aeroporto,possui_deficiencia,utiliza_recurso_assistivo,solicitou_assistencia_especial
1,Brasileira,Feminino,18 a 25 anos,Doutorado,Entre 1 e 2 s.m,Sim,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
2,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
3,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
4,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Saúde/Tratamento/Consulta/Exames,2 a 3,Sim,Nenhuma,Não informado,Não informado
5,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
6,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Não,Trabalho,2 a 3,Sim,Nenhuma,Não informado,Não informado
7,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
8,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Lazer,mais de 11,Sim,Nenhuma,Não informado,Não informado
9,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
10,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
11,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Até 1 salário mínimo,Sim,Trabalho,NS/NR,Não,Nenhuma,Não informado,Não informado
12,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
13,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
14,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Lazer,2 a 3,Sim,Nenhuma,Não informado,Não informado
15,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Mudança,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
16,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Não,Mudança,2 a 3,Não,Nenhuma,Não informado,Não informado
17,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Sim,Familiar / Família,2 a 3,Não,Nenhuma,Não informado,Não informado
18,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Sim,Familiar / Família,2 a 3,Sim,Deficiência Mental/Intelectual,Não informado,Não quis
19,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 SM,Sim,Familiar / Família,4 a 5,Não,Nenhuma,Não informado,Não informado
20,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 s.m,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
21,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 s.m,Sim,Outros - Jurídico / Embaixada,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
22,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 s.m,Sim,Outros - Saúde/Tratamento/Consulta/Exames,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
23,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 1 e 2 s.m,Sim,Trabalho,2 a 3,Não,Nenhuma,Não informado,Não informado
24,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 10 e 20 SM,Sim,Familiar / Família,mais de 11,Sim,Nenhuma,Não informado,Não informado
25,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 10 e 20 SM,Sim,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
26,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 SM,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
27,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 SM,Não,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
28,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 SM,Sim,Lazer,4 a 5,Não,Nenhuma,Não informado,Não informado
29,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 s.m,Não,Lazer,6 a 10,Sim,Nenhuma,Não informado,Não informado
30,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 2 e 4 s.m,Sim,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
31,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 4 e 10 SM,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
32,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 4 e 10 SM,Sim,Trabalho,4 a 5,Não,Nenhuma,Não informado,Não informado
33,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Entre 4 e 10 s.m,Sim,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
34,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Prefiro não informar,Não,Outros - Familiar / Família,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
35,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Prefiro não informar,Sim,Lazer,mais de 11,Sim,Nenhuma,Não informado,Não informado
36,Brasileira,Feminino,18 a 25 anos,Ensino fundamental,Prefiro não informar,Sim,Trabalho,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
37,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer,1 - primeira viagem,Não informado,Nenhuma,Não informado,Não informado
38,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer,2 a 3,Não,Nenhuma,Não informado,Não informado
39,Brasileira,Feminino,18 a 25 anos,Ensino médio,Até 1 salário mínimo,Não,Lazer,4 a 5,Não,Nenhuma,Não informado,Não informado
