indicador_key,codigo_indicador,campo_original,categoria,tipo_indicador,somente_pcd,coluna_normalizada
1,A2,FACILIDADE DE DESEMBARQUE NO MEIO-FIO,Acesso,macro,não,facilidade_de_desembarque_no_meio_fio
2,A3,OPÇÕES DE TRANSPORTE ATÉ O AEROPORTO,Acesso,macro,não,opcoes_de_transporte_ate_o_aeroporto
3,B1,AVALIAÇÃO DO MÉTODO DE DESEMBARQUE,Desembarque,macro,sim,avaliacao_do_metodo_de_desembarque
4,B3,PROCESSO DE RESTITUIÇÃO DE BAGAGENS,Bagagem,macro,não,processo_de_restituicao_de_bagagens
5,B3.a,FACILIDADE DE IDENTIFICAÇÃO DA ESTEIRA DE RESTITUIÇÃO,Bagagem,subindicador,não,facilidade_de_identificacao_da_esteira_de_restituicao
6,B3.b,TEMPO DE RESTITUIÇÃO,Bagagem,subindicador,não,tempo_de_restituicao
7,B3.c,INTEGRIDADE DA BAGAGEM,Bagagem,subindicador,não,integridade_da_bagagem
8,B4,ATENDIMENTO DA CIA. AÉREA2,Companhia aérea,macro,não,atendimento_da_cia_aerea2
9,C2,PROCESSO DE CHECK IN,Check-in,macro,não,processo_de_check_in
10,C2.a,TEMPO DE ESPERA NA FILA,Check-in,subindicador,não,tempo_de_espera_na_fila
11,C2.b,ORGANIZAÇÃO DAS FILAS,Check-in,subindicador,não,organizacao_das_filas
12,C2.c,QUANTIDADE DE TOTENS AA,Check-in,subindicador,não,quantidade_de_totens_aa
13,C2.d,QUANTIDADE DE BALCÕES,Check-in,subindicador,não,quantidade_de_balcoes
14,C2.e,CORDIALIDADE DOS FUNCIONÁRIOS,Check-in,subindicador,não,cordialidade_dos_funcionarios
15,C2.f,TEMPO DE ATENDIMENTO,Check-in,subindicador,não,tempo_de_atendimento
16,C3,PROCESSO DE AQUISIÇÃO DA PASSAGEM,Compra da passagem,macro,não,processo_de_aquisicao_da_passagem
17,C4,ATENDIMENTO DA CIA. AÉREA,Companhia aérea,macro,não,atendimento_da_cia_aerea
18,G1,SATISFAÇÃO GERAL,Satisfação geral,geral,não,satisfacao_geral
