codigo_icao,nome_aeroporto,uf,total_entrevistas,media_satisfacao_geral,percentual_positivo
SBFL,Florianópolis / Hercílio Luz,SC,3862,4.726,97.62
SBVT,Vitória / Eurico de Aguiar Salles,ES,3700,4.646,98.03
SBPA,Porto Alegre / Salgado Filho,RS,3952,4.572,96.96
SBMO,Maceió / Zumbi dos Palmares,AL,3883,4.559,96.57
SBCT,Curitiba / Afonso Pena,PR,3912,4.515,96.5
SBCF,Confins / Tancredo Neves,MG,3861,4.514,94.87
SBBR,Brasília / Pres. Juscelino Kubitschek,DF,3828,4.502,95.11
SBCY,Cuiabá / Marechal Rondon,MT,3632,4.482,92.65
SBFZ,Fortaleza / Pinto Martins,CE,3776,4.481,96.27
SBGO,Goiânia / Santa Genoveva,GO,3715,4.468,95.83
SBKP,Campinas / Viracopos,SP,3709,4.466,93.5
SBEG,Manaus / Eduardo Gomes,AM,3627,4.46,93.44
SBSG,Natal / Governador Aluízio Alves,RN,3714,4.433,91.9
SBSV,Salvador / Deputado Luís Eduardo Magalhães,BA,3840,4.38,93.83
SBRF,Recife / Gilberto Freyre - Guararapes,PE,3865,4.353,91.9
SBGL,Rio de Janeiro / Antônio Carlos Jobim - Galeão,RJ,3747,4.353,93.03
SBGR,Guarulhos / Governador André Franco Montoro,SP,5336,4.344,91.45
SBRJ,Rio de Janeiro / Santos Dumont,RJ,3706,4.337,93.9
SBSP,São Paulo / Congonhas,SP,3678,4.25,88.61
SBBE,Belém / Val de Cans - Júlio Cezar Ribeiro,PA,3851,4.138,84.11
